"","iso3","bws_label","pop","total_pop","pop_pct"
"1","ARG","",59,45265861,0.000130341053271913
"2","ARG","Arid and Low Water Use",937978,45265861,2.07215322823529
"3","ARG","Extremely High (>80%)",609126,45265861,1.34566312568317
"4","ARG","High (40-80%)",2084327,45265861,4.60463350073027
"5","ARG","Low - Medium (10-20%)",3847369,45265861,8.49949369128315
"6","ARG","Low (<10%)",35383071,45265861,78.1672329175402
"7","ARG","Medium - High (20-40%)",2403931,45265861,5.31069319547462
"8","BHS","",8,390478,0.00204877099350027
"9","BHS","Low (<10%)",390470,390478,99.9979512290065
"10","BLZ","",0,414792,0
"11","BLZ","Low - Medium (10-20%)",34856,414792,8.40324789291983
"12","BLZ","Low (<10%)",377593,414792,91.031890682559
"13","BLZ","Medium - High (20-40%)",2343,414792,0.564861424521206
"14","BOL","Arid and Low Water Use",183617,11861246,1.54804141150095
"15","BOL","Extremely High (>80%)",388348,11861246,3.27409110307635
"16","BOL","High (40-80%)",218525,11861246,1.842344387765
"17","BOL","Low - Medium (10-20%)",42427,11861246,0.35769429282556
"18","BOL","Low (<10%)",10380547,11861246,87.5164970020856
"19","BOL","Medium - High (20-40%)",647782,11861246,5.46133180274652
"20","BRA","",4985,216969903,0.00229755368420845
"21","BRA","Arid and Low Water Use",85122,216969903,0.0392321694497877
"22","BRA","High (40-80%)",30836997,216969903,14.2125689202156
"23","BRA","Low - Medium (10-20%)",25049892,216969903,11.5453303216898
"24","BRA","Low (<10%)",127059238,216969903,58.5607663750488
"25","BRA","Medium - High (20-40%)",33933669,216969903,15.6398046599117
"26","BRB","Low (<10%)",283723,283723,100
"27","CHL","",6977,20732124,0.033653088318399
"28","CHL","Arid and Low Water Use",1344452,20732124,6.48487342637928
"29","CHL","Extremely High (>80%)",13699033,20732124,66.0763605311255
"30","CHL","High (40-80%)",1552697,20732124,7.48932912035448
"31","CHL","Low - Medium (10-20%)",75,20732124,0.000361757434983507
"32","CHL","Low (<10%)",2408452,20732124,11.6170055706786
"33","CHL","Medium - High (20-40%)",1720438,20732124,8.29841650570872
"34","COL","",99766,63238284,0.157762029089847
"35","COL","Low - Medium (10-20%)",13103962,63238284,20.7215648040039
"36","COL","Low (<10%)",48897059,63238284,77.3219257499144
"37","COL","Medium - High (20-40%)",1137497,63238284,1.7987474169919
"38","CRI","",0,4819985,0
"39","CRI","Low - Medium (10-20%)",3034123,4819985,62.9488058572796
"40","CRI","Low (<10%)",1785862,4819985,37.0511941427204
"41","DOM","",158,12066727,0.00130938571826478
"42","DOM","Low - Medium (10-20%)",12066569,12066727,99.9986906142817
"43","ECU","",256,17652405,0.00145022732029998
"44","ECU","Arid and Low Water Use",31935,17652405,0.180910193256953
"45","ECU","Extremely High (>80%)",58509,17652405,0.331450587044655
"46","ECU","High (40-80%)",58545,17652405,0.331654525261572
"47","ECU","Low - Medium (10-20%)",6705978,17652405,37.9890332223853
"48","ECU","Low (<10%)",9605330,17652405,54.413718697254
"49","ECU","Medium - High (20-40%)",1191852,17652405,6.75178254747724
"50","GTM","",0,18274138,0
"51","GTM","High (40-80%)",3460545,18274138,18.9368439704242
"52","GTM","Low - Medium (10-20%)",1113048,18274138,6.0908372258106
"53","GTM","Low (<10%)",10472490,18274138,57.3077099450601
"54","GTM","Medium - High (20-40%)",3228055,18274138,17.6646088587051
"55","GUF","",0,161,0
"56","GUF","Low (<10%)",161,161,100
"57","GUY","",91,728224,0.0124961550292218
"58","GUY","Low (<10%)",728133,728224,99.9875038449708
"59","HND","",1,9566249,1.04534180534084e-05
"60","HND","Low - Medium (10-20%)",111965,9566249,1.17041695234987
"61","HND","Low (<10%)",9454283,9566249,98.8295725942321
"62","HTI","",9,14690674,6.12633566029714e-05
"63","HTI","Low - Medium (10-20%)",14295679,14690674,97.3112533842899
"64","HTI","Low (<10%)",394986,14690674,2.68868535235347
"65","JAM","",5,2739342,0.000182525584611195
"66","JAM","Low (<10%)",2739337,2739342,99.9998174744154
"67","MEX","",126,140382348,8.9754874309411e-05
"68","MEX","Arid and Low Water Use",1127673,140382348,0.803286891881877
"69","MEX","Extremely High (>80%)",87062234,140382348,62.0179354743376
"70","MEX","High (40-80%)",7881023,140382348,5.61397006979823
"71","MEX","Low - Medium (10-20%)",4197955,140382348,2.99037240779019
"72","MEX","Low (<10%)",23871519,140382348,17.0046443446009
"73","MEX","Medium - High (20-40%)",16241818,140382348,11.5697010567169
"74","NIC","",2,6878104,2.90777807372497e-05
"75","NIC","Low - Medium (10-20%)",262790,6878104,3.82067499997092
"76","NIC","Low (<10%)",6615312,6878104,96.1792959222483
"77","PAN","",4,4051281,9.87342028360906e-05
"78","PAN","Low (<10%)",4051277,4051281,99.9999012657972
"79","PER","",119,35728417,0.000333068212901792
"80","PER","Arid and Low Water Use",39976,35728417,0.111888528394639
"81","PER","Extremely High (>80%)",5784005,35728417,16.188808477017
"82","PER","High (40-80%)",1881503,35728417,5.26612472083496
"83","PER","Low - Medium (10-20%)",2134691,35728417,5.97477072661798
"84","PER","Low (<10%)",24061957,35728417,67.3468320748719
"85","PER","Medium - High (20-40%)",1826166,35728417,5.11124240405053
"86","PRY","Arid and Low Water Use",2822,7503751,0.0376078577234239
"87","PRY","High (40-80%)",4118,7503751,0.0548792197395676
"88","PRY","Low - Medium (10-20%)",2247,7503751,0.0299450234955824
"89","PRY","Low (<10%)",7494564,7503751,99.8775678990414
"90","SLV","",1,5390698,1.85504734266323e-05
"91","SLV","High (40-80%)",1223711,5390698,22.7004183873777
"92","SLV","Low (<10%)",4166986,5390698,77.2995630621489
"93","SUR","",16,624002,0.00256409434585146
"94","SUR","Low (<10%)",623986,624002,99.9974359056542
"95","TTO","",8,1379648,0.000579858050749177
"96","TTO","Low (<10%)",1379640,1379648,99.9994201419492
"97","URY","",86,3366433,0.0025546327522336
"98","URY","Low (<10%)",3366347,3366433,99.9974453672478
"99","URY","Medium - High (20-40%)",0,3366433,0
"100","VEN","",587,32005711,0.00183404767980315
"101","VEN","Arid and Low Water Use",32927,32005711,0.102878514400133
"102","VEN","High (40-80%)",5654026,32005711,17.6656784784441
"103","VEN","Low - Medium (10-20%)",1786787,32005711,5.582713035183
"104","VEN","Low (<10%)",12845843,32005711,40.136096336057
"105","VEN","Medium - High (20-40%)",11685541,32005711,36.510799588236
