Field in Analysis,Field in Source,Source
fid,fid,WRI Baseline
string_id,string_id,WRI Baseline
aq30_id,aq30_id,WRI Baseline
pfaf_id,pfaf_id,WRI Baseline
gid_1,gid_1,WRI Baseline
aqid,aqid,WRI Baseline
gid_0,gid_0,WRI Baseline
name_0,name_0,WRI Baseline
name_1,name_1,WRI Baseline
area_km2,area_km2,WRI Baseline
bws_raw,bws_raw,WRI Baseline
bws_score,bws_score,WRI Baseline
bws_cat,bws_cat,WRI Baseline
bws_label,bws_label,WRI Baseline
bwd_raw,bwd_raw,WRI Baseline
bwd_score,bwd_score,WRI Baseline
bwd_cat,bwd_cat,WRI Baseline
bwd_label,bwd_label,WRI Baseline
iav_raw,iav_raw,WRI Baseline
iav_score,iav_score,WRI Baseline
iav_cat,iav_cat,WRI Baseline
iav_label,iav_label,WRI Baseline
sev_raw,sev_raw,WRI Baseline
sev_score,sev_score,WRI Baseline
sev_cat,sev_cat,WRI Baseline
sev_label,sev_label,WRI Baseline
gtd_raw,gtd_raw,WRI Baseline
gtd_score,gtd_score,WRI Baseline
gtd_cat,gtd_cat,WRI Baseline
gtd_label,gtd_label,WRI Baseline
rfr_raw,rfr_raw,WRI Baseline
rfr_score,rfr_score,WRI Baseline
rfr_cat,rfr_cat,WRI Baseline
rfr_label,rfr_label,WRI Baseline
cfr_raw,cfr_raw,WRI Baseline
cfr_score,cfr_score,WRI Baseline
cfr_cat,cfr_cat,WRI Baseline
cfr_label,cfr_label,WRI Baseline
drr_raw,drr_raw,WRI Baseline
drr_score,drr_score,WRI Baseline
drr_cat,drr_cat,WRI Baseline
drr_label,drr_label,WRI Baseline
ucw_raw,ucw_raw,WRI Baseline
ucw_score,ucw_score,WRI Baseline
ucw_cat,ucw_cat,WRI Baseline
ucw_label,ucw_label,WRI Baseline
cep_raw,cep_raw,WRI Baseline
cep_score,cep_score,WRI Baseline
cep_cat,cep_cat,WRI Baseline
cep_label,cep_label,WRI Baseline
udw_raw,udw_raw,WRI Baseline
udw_score,udw_score,WRI Baseline
udw_cat,udw_cat,WRI Baseline
udw_label,udw_label,WRI Baseline
usa_raw,usa_raw,WRI Baseline
usa_score,usa_score,WRI Baseline
usa_cat,usa_cat,WRI Baseline
usa_label,usa_label,WRI Baseline
rri_score,rri_score,WRI Baseline
rri_cat,rri_cat,WRI Baseline
rri_label,rri_label,WRI Baseline
w_awr_def_,w_awr_def_qan_raw,WRI Baseline
